"filename", "language", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/assets/css/picture.css", "CSS", 0, 132, 0, 3, 27, 162
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/assets/css/starting-page.css", "CSS", 0, 62, 0, 0, 10, 72
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/assets/js/rotation.js", "JavaScript", 0, 0, 244, 21, 48, 313
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/atacama-desert.html", "HTML", 54, 0, 0, 1, 12, 67
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/bad-wildbad.html", "HTML", 51, 0, 0, 1, 12, 64
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/cerro-paranal.html", "HTML", 55, 0, 0, 1, 13, 69
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/index.html", "HTML", 80, 0, 0, 1, 10, 91
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/singapore.html", "HTML", 54, 0, 0, 1, 12, 67
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/skyline.html", "HTML", 51, 0, 0, 1, 13, 65
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/skyscraper.html", "HTML", 51, 0, 0, 1, 12, 64
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/space.html", "HTML", 40, 0, 0, 1, 11, 52
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/vancouver.html", "HTML", 52, 0, 0, 1, 12, 65
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/waterfront.html", "HTML", 51, 0, 0, 1, 12, 64
"Total", "-", 539, 194, 244, 34, 204, 1215
