"filename", "language", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/assets/css/picture.css", "CSS", 0, 0, 0, 0, -1, -1
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/assets/js/rotation.js", "JavaScript", 0, 2, 0, -2, 0, 0
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/index.html", "HTML", 18, 0, 0, 0, -2, 16
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/singapore.html", "HTML", 54, 0, 0, 1, 12, 67
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/skyscraper.html", "HTML", 51, 0, 0, 1, 12, 64
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/waterfront.html", "HTML", 51, 0, 0, 1, 12, 64
"Total", "-", 174, 2, 0, 1, 33, 210
