"filename", "language", "JavaScript", "HTML", "comment", "blank", "total"
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/assets/js/rotation.js", "JavaScript", 31, 0, 4, 9, 44
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/index.html", "HTML", 0, 0, 1, 1, 2
"Total", "-", 31, 0, 5, 10, 46
