"filename", "language", "JavaScript", "HTML", "CSS", "comment", "blank", "total"
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/assets/css/picture.css", "CSS", 0, 0, 95, 0, 20, 115
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/assets/css/starting-page.css", "CSS", 0, 0, 62, 0, 10, 72
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/assets/js/rotation.js", "JavaScript", 181, 0, 0, 18, 51, 250
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/atacama-desert.html", "HTML", 0, 41, 0, 0, 10, 51
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/bad-wildbad.html", "HTML", 0, 41, 0, 0, 10, 51
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/index.html", "HTML", 0, 60, 0, 1, 11, 72
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/skyline.html", "HTML", 0, 36, 0, 0, 11, 47
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/space.html", "HTML", 0, 36, 0, 0, 11, 47
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/starry-sky.html", "HTML", 0, 36, 0, 0, 11, 47
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/vancouver.html", "HTML", 0, 41, 0, 0, 10, 51
"Total", "-", 181, 291, 157, 19, 155, 803
