"filename", "language", "JavaScript", "HTML", "comment", "blank", "total"
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/assets/js/rotation.js", "JavaScript", -9, 0, 0, -4, -13
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/atacama-desert.html", "HTML", 0, -63, -1, -13, -77
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/bad-wildbad.html", "HTML", 0, -51, -1, -12, -64
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/cerro-paranal.html", "HTML", 0, -55, -1, -13, -69
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/index.html", "HTML", 0, -60, -1, -11, -72
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/skyline.html", "HTML", 0, -57, -1, -12, -70
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/space.html", "HTML", 0, -41, 0, -10, -51
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/vancouver.html", "HTML", 0, -61, -1, -14, -76
"Total", "-", -9, -388, -6, -89, -492
