"filename", "language", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/assets/css/picture.css", "CSS", 0, -2, 0, 3, 1, 2
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/assets/js/rotation.js", "JavaScript", 0, 0, 21, -1, -2, 18
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/space.html", "HTML", 8, 0, 0, 1, 2, 11
"Total", "-", 8, -2, 21, 3, 1, 31
