"filename", "language", "JavaScript", "CSS", "HTML", "comment", "blank", "total"
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/assets/css/picture.css", "CSS", 0, -1, 0, 0, 2, 1
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/assets/js/rotation.js", "JavaScript", 9, 0, 0, 1, 1, 11
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/vancouver.html", "HTML", 0, 0, 1, 0, 0, 1
"Total", "-", 9, -1, 1, 1, 3, 13
