"filename", "language", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/assets/css/picture.css", "CSS", 0, 0, 145, 4, 29, 178
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/assets/css/starting-page.css", "CSS", 0, 0, 62, 0, 10, 72
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/assets/js/rotation.js", "JavaScript", 0, 175, 0, 19, 51, 245
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/atacama-desert.html", "HTML", 41, 0, 0, 0, 10, 51
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/bad-wildbad.html", "HTML", 41, 0, 0, 0, 10, 51
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/index.html", "HTML", 60, 0, 0, 1, 11, 72
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/skyline.html", "HTML", 41, 0, 0, 0, 10, 51
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/space.html", "HTML", 41, 0, 0, 0, 10, 51
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/starry-sky.html", "HTML", 41, 0, 0, 0, 10, 51
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/vancouver.html", "HTML", 52, 0, 0, 1, 11, 64
"Total", "-", 317, 175, 207, 25, 162, 886
