"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/philippmeyer/Documents/VSCodeProjects/dieVision/docs/assets/js/rotation.js", "JavaScript", 35, 4, 0, 39
"Total", "-", 35, 4, 0, 39
